TheTime,HNET_CBH_HMP60_Flag,HNET_CBH_O3_O3conc_ppbv_conv,HNET_CBH_O3_Flag,HNET_CBH_HMP60_Temp_C,HNET_CBH_HMP60_RH_pct,HNET_CBH_RMY_Flag,HNET_CBH_RMY_WD_deg,HNET_CBH_RMY_WS_ms
42769.00020792,1.000000,14.38240,1.000000,15.17578,74.21875,1.000000,26.20000,2.870000
42769.00032384,1.000000,13.21080,1.000000,14.19922,74.70703,1.000000,79.00000,0.5800000
42769.00043993,1.000000,14.27130,1.000000,14.68750,74.70703,1.000000,55.70000,1.880000
42769.00055585,1.000000,13.33200,1.000000,14.19922,75.68359,1.000000,32.70000,3.010000
42769.00067195,1.000000,12.77650,1.000000,14.19922,75.19531,1.000000,37.60000,2.620000
42769.00078786,1.000000,12.78660,1.000000,14.19922,75.68359,1.000000,19.60000,2.160000
42769.00090378,1.000000,12.29170,1.000000,14.19922,75.19531,1.000000,23.00000,3.830000
42769.00101970,1.000000,13.04920,1.000000,14.19922,75.68359,1.000000,13.50000,3.830000
42769.00113561,1.000000,12.77650,1.000000,14.68750,76.17188,1.000000,9.700000,3.420000
42769.00125153,1.000000,12.44320,1.000000,14.19922,76.17188,1.000000,351.4000,2.080000
42769.00136745,1.000000,12.99870,1.000000,14.19922,75.19531,1.000000,5.700000,3.180000
42769.00148336,1.000000,11.99880,1.000000,14.68750,76.17188,1.000000,6.100000,3.690000
42769.00159928,1.000000,12.98860,1.000000,14.68750,75.68359,1.000000,11.80000,2.310000
42769.00171520,1.000000,12.51390,1.000000,14.68750,76.17188,1.000000,10.10000,3.220000
42769.00183111,1.000000,13.77640,1.000000,14.19922,76.17188,1.000000,7.000000,4.050000
42769.00194703,1.000000,11.65540,1.000000,14.19922,76.17188,1.000000,24.20000,3.180000
42769.00206295,1.000000,11.73620,1.000000,14.19922,76.17188,1.000000,17.00000,3.000000
42769.00217886,1.000000,11.24130,1.000000,14.19922,77.14844,1.000000,7.100000,2.670000
42769.00229478,1.000000,10.60500,1.000000,14.19922,76.66016,1.000000,6.000000,2.780000
42769.00241070,1.000000,,1.000000,,,1.000000,24.60000,2.930000
42769.00252661,1.000000,11.45340,1.000000,14.19922,76.66016,1.000000,7.100000,2.540000
42769.00264253,1.000000,11.73620,1.000000,14.68750,76.66016,1.000000,16.20000,2.710000
42769.00275845,1.000000,10.45350,1.000000,14.68750,76.66016,1.000000,42.80000,1.700000
42769.00287436,1.000000,11.23120,1.000000,14.68750,77.14844,1.000000,14.00000,2.320000
42769.00299028,1.000000,12.07960,1.000000,14.68750,77.14844,1.000000,2.300000,2.200000
42769.00310620,1.000000,11.24130,1.000000,14.19922,77.14844,1.000000,24.50000,2.450000
42769.00322211,1.000000,10.87770,1.000000,14.68750,77.14844,1.000000,10.20000,3.510000
42769.00333803,1.000000,10.94840,1.000000,14.68750,77.14844,1.000000,357.9000,1.690000
42769.00345395,1.000000,10.04950,1.000000,14.19922,77.14844,1.000000,346.9000,2.300000
42769.00356986,1.000000,9.069800,1.000000,14.19922,77.14844,1.000000,12.90000,2.930000
42769.00368578,1.000000,11.23120,1.000000,14.19922,77.14844,1.000000,10.90000,3.490000
42769.00380170,1.000000,11.78670,1.000000,14.19922,77.63672,1.000000,18.20000,3.440000
42769.00391761,1.000000,10.19090,1.000000,14.19922,77.63672,1.000000,11.90000,4.000000
42769.00403353,1.000000,9.413200,1.000000,14.19922,78.12500,1.000000,18.80000,3.790000
42769.00414963,1.000000,8.917290,1.000000,14.19922,77.63672,1.000000,24.90000,1.680000
42769.00426554,1.000000,10.11010,1.000000,14.19922,77.63672,1.000000,5.600000,2.500000
42769.00438146,1.000000,9.483900,1.000000,14.19922,77.63672,1.000000,21.80000,3.210000
42769.00449738,1.000000,9.201100,1.000000,14.19922,78.12500,1.000000,23.00000,3.490000
42769.00461329,1.000000,10.39290,1.000000,14.68750,78.12500,1.000000,30.20000,4.030000
42769.00472921,1.000000,10.11010,1.000000,14.19922,78.12500,1.000000,10.70000,3.030000
42769.00484513,1.000000,10.19090,1.000000,14.19922,78.12500,1.000000,5.600000,3.910000
42769.00496104,1.000000,10.74640,1.000000,14.19922,78.61328,1.000000,29.20000,3.840000
42769.00507696,1.000000,10.45350,1.000000,14.68750,78.12500,1.000000,9.900000,4.230000
42769.00519288,1.000000,10.45350,1.000000,14.19922,78.12500,1.000000,30.30000,5.520000
42769.00530879,1.000000,10.47370,1.000000,14.19922,79.10156,1.000000,40.70000,4.600000
42769.00542471,1.000000,10.74640,1.000000,14.19922,78.61328,1.000000,37.70000,3.390000
42769.00554063,1.000000,9.958600,1.000000,14.19922,78.12500,1.000000,21.50000,1.350000
42769.00565654,1.000000,11.37260,1.000000,14.19922,78.12500,1.000000,13.10000,3.620000
42769.00577246,1.000000,11.17060,1.000000,14.19922,78.61328,1.000000,32.00000,0.5000000
42769.00588838,1.000000,10.19090,1.000000,14.19922,78.12500,1.000000,22.10000,3.130000
42769.00600429,1.000000,9.403100,1.000000,14.19922,78.12500,1.000000,38.60000,3.090000
42769.00612021,1.000000,9.615200,1.000000,14.68750,78.61328,1.000000,347.7000,2.390000
42769.00623613,1.000000,7.873960,1.000000,14.19922,79.10156,1.000000,1.600000,3.010000
42769.00635204,1.000000,7.873960,1.000000,14.19922,78.61328,1.000000,14.20000,3.700000
42769.00646796,1.000000,8.570860,1.000000,14.19922,78.61328,1.000000,14.80000,2.470000
42769.00658388,1.000000,7.862850,1.000000,14.19922,78.61328,1.000000,6.600000,4.420000
42769.00669979,1.000000,9.413200,1.000000,14.19922,79.10156,1.000000,4.700000,3.930000
42769.00681571,1.000000,9.069800,1.000000,14.19922,79.10156,1.000000,27.90000,3.420000
42769.00693163,1.000000,8.989000,1.000000,14.19922,78.61328,1.000000,14.30000,4.610000
42769.00704754,1.000000,8.635500,1.000000,14.19922,79.58984,1.000000,7.300000,3.340000
42769.00716346,1.000000,9.352600,1.000000,14.19922,79.10156,1.000000,30.20000,3.710000
42769.00727974,1.000000,8.086060,1.000000,14.19922,79.10156,1.000000,9.900000,4.100000
42769.00739566,1.000000,6.876080,1.000000,14.19922,79.10156,1.000000,14.80000,3.120000
42769.00751175,1.000000,7.155850,1.000000,14.19922,79.10156,1.000000,21.10000,3.650000
42769.00762767,1.000000,9.130400,1.000000,14.19922,79.10156,1.000000,7.700000,4.020000
