TheTime,HNET_CBH_HMP60_Flag,HNET_CBH_O3_O3conc_ppbv_conv,HNET_CBH_O3_Flag,HNET_CBH_HMP60_Temp_C,HNET_CBH_HMP60_RH_pct,HNET_CBH_RMY_Flag,HNET_CBH_RMY_WD_deg,HNET_CBH_RMY_WS_ms
42886.00019147,1.000000,27.91640,1.000000,24.94141,85.93750,1.000000,55.30000,2.340000
42886.00030738,1.000000,28.66380,1.000000,24.45313,86.42578,1.000000,2.030000,0
42886.00042330,1.000000,29.41120,1.000000,24.45313,86.91406,1.000000,65.30000,1.890000
42886.00053922,1.000000,28.55270,1.000000,24.45313,86.91406,1.000000,44.20000,2.110000
42886.00065531,1.000000,28.66380,1.000000,24.45313,86.42578,1.000000,56.40000,0.5200000
42886.00077123,1.000000,28.57290,1.000000,24.45313,85.93750,1.000000,66.40000,2.050000
42886.00088715,1.000000,28.87590,1.000000,24.94141,86.42578,1.000000,70.50000,2.320000
42886.00100306,1.000000,28.64360,1.000000,24.45313,86.42578,1.000000,53.60000,2.510000
42886.00111898,1.000000,28.47190,1.000000,24.94141,86.42578,1.000000,22.40000,2.290000
42886.00123490,1.000000,28.66380,1.000000,24.94141,86.42578,1.000000,52.60000,1.280000
42886.00135081,1.000000,28.74460,1.000000,24.45313,85.93750,1.000000,56.50000,2.250000
42886.00146673,1.000000,27.89620,1.000000,24.45313,86.91406,1.000000,49.90000,2.380000
42886.00158265,1.000000,28.38100,1.000000,24.94141,86.42578,1.000000,42.30000,1.780000
42886.00169856,1.000000,29.36070,1.000000,24.94141,86.42578,1.000000,72.30000,2.140000
42886.00181448,1.000000,28.69410,1.000000,24.45313,86.91406,1.000000,75.20000,2.550000
42886.00193040,1.000000,27.51240,1.000000,23.96484,85.93750,1.000000,64.00000,3.540000
42886.00204631,1.000000,27.48210,1.000000,24.45313,86.42578,1.000000,64.30000,2.040000
42886.00216223,1.000000,27.43160,1.000000,24.45313,86.42578,1.000000,58.80000,2.210000
42886.00227995,1.000000,28.74460,1.000000,24.94141,86.42578,1.000000,46.80000,3.180000
42886.00239587,1.000000,28.73450,1.000000,24.45313,86.91406,1.000000,48.50000,2.520000
42886.00251233,1.000000,28.37090,1.000000,24.94141,86.42578,1.000000,63.40000,3.020000
42886.00262843,1.000000,28.13860,1.000000,24.94141,86.91406,1.000000,75.10000,3.290000
42886.00274434,1.000000,28.41130,1.000000,24.94141,86.42578,1.000000,76.00000,3.620000
42886.00286026,1.000000,28.54260,1.000000,23.96484,86.42578,1.000000,70.00000,3.330000
42886.00297618,1.000000,28.84560,1.000000,24.94141,86.91406,1.000000,60.70000,2.020000
42886.00309209,1.000000,28.47190,1.000000,24.94141,86.91406,1.000000,65.00000,1.380000
42886.00321108,1.000000,28.16890,1.000000,24.45313,86.42578,1.000000,79.70000,2.160000
42886.00332718,1.000000,27.12860,1.000000,24.94141,86.42578,1.000000,79.00000,2.060000
42886.00344309,1.000000,27.58310,1.000000,24.45313,86.42578,1.000000,78.40000,2.450000
42886.00355901,1.000000,27.76490,1.000000,24.45313,86.42578,1.000000,79.80000,2.190000
