TheTime,HNET_CBH_HMP60_Flag,HNET_CBH_HMP60_Temp_C,HNET_CBH_HMP60_RH_pct,HNET_CBH_RMY_Flag,HNET_CBH_RMY_WD_deg,HNET_CBH_RMY_WS_ms
43186.00977364,1.000000,23.47656,85.44922,1.000000,122.7000,5.670000
43186.00988956,1.000000,23.47656,84.96094,1.000000,204.3000,3.180000
43186.01000547,1.000000,23.47656,85.44922,1.000000,148.9000,5.360000
43186.01012139,1.000000,22.98828,85.44922,1.000000,171.9000,5.240000
43186.01023731,1.000000,23.47656,85.44922,1.000000,152.9000,7.270000
43186.01035266,1.000000,23.47656,85.44922,1.000000,154.6000,6.080000
43186.01046876,1.000000,23.47656,85.44922,1.000000,145.4000,6.290000
43186.01058468,1.000000,23.47656,85.44922,1.000000,122.4000,5.500000
43186.01070059,1.000000,23.47656,84.96094,1.000000,187.0000,3.630000
43186.01081651,1.000000,23.47656,84.96094,1.000000,150.5000,6.010000
43186.01093243,1.000000,23.47656,84.96094,1.000000,164.5000,6.360000
43186.01104834,1.000000,22.98828,84.96094,1.000000,142.7000,6.940000
43186.01116426,1.000000,22.98828,85.44922,1.000000,154.2000,5.800000
43186.01128018,1.000000,23.47656,85.44922,1.000000,155.2000,8.260000
43186.01139609,1.000000,22.98828,85.44922,1.000000,142.8000,7.750000
43186.01151201,1.000000,23.47656,85.44922,1.000000,153.7000,4.890000
43186.01162793,1.000000,22.98828,84.96094,1.000000,159.1000,5.360000
43186.01174384,1.000000,23.47656,85.44922,1.000000,160.6000,5.250000
43186.01185976,1.000000,22.98828,84.96094,1.000000,152.7000,5.240000
43186.01197568,1.000000,23.47656,84.96094,1.000000,154.4000,7.960000
43186.01209159,1.000000,22.98828,85.44922,1.000000,143.9000,6.510000
43186.01220751,1.000000,23.47656,84.96094,1.000000,135.9000,6.810000
43186.01232343,1.000000,23.47656,84.96094,1.000000,160.4000,7.520000
43186.01243934,1.000000,23.47656,84.96094,1.000000,139.9000,5.750000
43186.01255526,1.000000,23.96484,85.44922,1.000000,142.8000,11.41000
43186.01267118,1.000000,22.98828,84.96094,1.000000,163.6000,8.310000
43186.01278709,1.000000,23.47656,84.96094,1.000000,152.2000,5.730000
43186.01290301,1.000000,23.47656,85.44922,1.000000,150.3000,6.010000
43186.01301893,1.000000,23.47656,85.44922,1.000000,124.6000,4.030000
43186.01313484,1.000000,23.47656,84.96094,1.000000,147.0000,8.170000
43186.01325076,1.000000,23.47656,85.44922,1.000000,127.3000,11.69000
43186.01336668,1.000000,23.47656,84.96094,1.000000,141.0000,9.210000
43186.01348259,1.000000,23.47656,84.47266,1.000000,127.9000,8.270000
43186.01359851,1.000000,22.98828,84.96094,1.000000,178.2000,5.000000
43186.01371443,1.000000,23.47656,84.47266,1.000000,131.5000,4.940000
43186.01383034,1.000000,22.98828,84.96094,1.000000,122.4000,7.810000
43186.01394626,1.000000,23.47656,84.47266,1.000000,161.9000,9.910000
43186.01406218,1.000000,22.98828,84.47266,1.000000,140.5000,8.690000
43186.01417809,1.000000,23.47656,84.47266,1.000000,139.6000,6.920000
43186.01429401,1.000000,23.47656,84.47266,1.000000,152.2000,4.160000
43186.01441011,1.000000,23.47656,83.98438,1.000000,164.3000,5.650000
43186.01452602,1.000000,22.98828,84.47266,1.000000,170.4000,6.150000
43186.01464194,1.000000,23.47656,84.47266,1.000000,141.7000,6.720000
43186.01475786,1.000000,23.47656,84.96094,1.000000,147.7000,6.270000
43186.01487377,1.000000,23.47656,83.98438,1.000000,134.7000,9.070000
43186.01499005,1.000000,22.98828,84.47266,1.000000,131.6000,6.560000
43186.01510597,1.000000,23.47656,84.47266,1.000000,137.4000,5.940000
43186.01522206,1.000000,23.47656,84.47266,1.000000,127.6000,6.690000
43186.01533798,1.000000,23.47656,84.47266,1.000000,132.2000,5.300000
43186.01545390,1.000000,23.47656,84.96094,1.000000,153.2000,7.940000
43186.01556981,1.000000,23.47656,84.47266,1.000000,141.7000,5.920000
43186.01568573,1.000000,23.47656,84.47266,1.000000,148.7000,5.400000
43186.01580183,1.000000,23.47656,84.47266,1.000000,145.9000,6.020000
43186.01591775,1.000000,22.98828,84.47266,1.000000,158.1000,7.830000
43186.01603366,1.000000,23.47656,84.47266,1.000000,141.9000,5.110000
