TheTime,HNET_CBH_HMP60_Flag,HNET_CBH_O3_O3conc_ppbv_conv,HNET_CBH_O3_Flag,HNET_CBH_HMP60_Temp_C,HNET_CBH_HMP60_RH_pct,HNET_CBH_RMY_Flag,HNET_CBH_RMY_WD_deg,HNET_CBH_RMY_WS_ms
42885.00016939,1.000000,17.87700,1.000000,22.98828,89.84375,1.000000,339.4000,1.080000
42885.00028531,1.000000,17.26090,1.000000,22.98828,88.86719,1.000000,338.3000,1.010000
42885.00040267,1.000000,18.27090,1.000000,22.98828,89.35547,1.000000,337.0000,1.140000
42885.00051859,1.000000,18.64460,1.000000,22.98828,89.35547,1.000000,346.9000,1.140000
42885.00063450,1.000000,18.43250,1.000000,22.98828,89.35547,1.000000,339.2000,1.050000
42885.00075042,1.000000,19.28090,1.000000,22.98828,89.35547,1.000000,341.2000,1.050000
42885.00086634,1.000000,18.08910,1.000000,22.98828,89.84375,1.000000,340.7000,1.040000
42885.00098225,1.000000,18.74560,1.000000,22.98828,89.35547,1.000000,344.0000,1.110000
42885.00110070,1.000000,18.72540,1.000000,22.98828,89.84375,1.000000,341.6000,1.080000
42885.00121824,1.000000,17.68510,1.000000,22.98828,89.35547,1.000000,341.6000,1.150000
42885.00133416,1.000000,18.78600,1.000000,22.98828,88.86719,1.000000,327.0000,0.9100000
42885.00145007,1.000000,19.11930,1.000000,22.98828,89.84375,1.000000,345.2000,0.9100000
42885.00156599,1.000000,20.08890,1.000000,22.98828,89.35547,1.000000,342.2000,1.040000
42885.00168263,1.000000,19.84650,1.000000,23.47656,89.84375,1.000000,317.0000,1.000000
42885.00179855,1.000000,19.82630,1.000000,23.47656,89.84375,1.000000,338.1000,1.120000
42885.00191446,1.000000,19.59400,1.000000,22.98828,89.35547,1.000000,331.9000,0.9800000
42885.00203056,1.000000,18.67490,1.000000,22.98828,89.35547,1.000000,345.6000,1.070000
42885.00214648,1.000000,18.43250,1.000000,22.98828,89.84375,1.000000,330.9000,1.030000
42885.00226257,1.000000,20.05860,1.000000,23.47656,89.35547,1.000000,326.2000,0.6700000
42885.00237849,1.000000,18.07900,1.000000,22.98828,89.35547,1.000000,323.9000,0.9200000
42885.00249459,1.000000,17.40230,1.000000,23.47656,89.84375,1.000000,324.4000,0.8600000
42885.00261159,1.000000,20.32120,1.000000,22.98828,89.84375,1.000000,338.5000,1.090000
42885.00273003,1.000000,19.68490,1.000000,22.98828,89.35547,1.000000,329.3000,0.8600000
42885.00284595,1.000000,17.75580,1.000000,22.98828,89.84375,1.000000,324.2000,1.100000
