TheTime,HNET_CBH_HMP60_Flag,HNET_CBH_O3_O3conc_ppbv_conv,HNET_CBH_O3_Flag,HNET_CBH_HMP60_Temp_C,HNET_CBH_HMP60_RH_pct,HNET_CBH_RMY_Flag,HNET_CBH_RMY_WD_deg,HNET_CBH_RMY_WS_ms
42834.00015206,1.000000,48.48000,1.000000,19.57031,73.73047,1.000000,143.9000,2.310000
42834.00026816,1.000000,49.27790,1.000000,19.57031,73.73047,1.000000,144.1000,2.160000
42834.00038407,1.000000,47.32860,1.000000,19.08203,73.73047,1.000000,155.2000,2.020000
42834.00049999,1.000000,48.66180,1.000000,19.57031,74.21875,1.000000,171.9000,1.240000
42834.00061591,1.000000,49.69200,1.000000,19.57031,73.73047,1.000000,165.3000,2.330000
42834.00073182,1.000000,48.87390,1.000000,19.08203,73.73047,1.000000,148.4000,2.860000
42834.00084774,1.000000,48.23760,1.000000,19.57031,74.21875,1.000000,155.3000,2.300000
42834.00096366,1.000000,47.89420,1.000000,19.08203,74.21875,1.000000,174.8000,1.540000
42834.00107957,1.000000,48.20730,1.000000,19.57031,74.21875,1.000000,159.8000,2.670000
42834.00119549,1.000000,48.51030,1.000000,19.08203,73.73047,1.000000,143.2000,1.680000
42834.00131141,1.000000,48.73250,1.000000,20.05859,73.73047,1.000000,155.0000,2.180000
42834.00142732,1.000000,48.75270,1.000000,19.08203,73.73047,1.000000,162.3000,2.290000
42834.00154324,1.000000,48.97490,1.000000,19.08203,74.21875,1.000000,162.8000,2.380000
42834.00165916,1.000000,49.23750,1.000000,19.08203,74.21875,1.000000,152.6000,2.150000
42834.00177507,1.000000,50.30810,1.000000,19.57031,73.73047,1.000000,171.2000,1.610000
42834.00189099,1.000000,49.92430,1.000000,19.57031,73.73047,1.000000,172.3000,2.150000
42834.00200691,1.000000,49.01530,1.000000,19.08203,74.21875,1.000000,158.1000,2.630000
42834.00212282,1.000000,48.65170,1.000000,19.57031,73.73047,1.000000,150.0000,2.370000
42834.00223874,1.000000,49.18700,1.000000,19.08203,74.70703,1.000000,161.3000,2.200000
42834.00235466,1.000000,49.20720,1.000000,19.57031,73.73047,1.000000,159.6000,2.050000
42834.00247057,1.000000,49.10620,1.000000,19.08203,73.73047,1.000000,161.5000,2.260000
42834.00258649,1.000000,49.19710,1.000000,19.57031,74.21875,1.000000,163.4000,2.140000
42834.00270241,1.000000,48.61130,1.000000,19.08203,74.21875,1.000000,141.2000,1.730000
42834.00281941,1.000000,48.62140,1.000000,19.57031,74.21875,1.000000,163.8000,3.010000
42834.00293532,1.000000,49.32840,1.000000,19.57031,74.70703,1.000000,154.1000,2.490000
42834.00305124,1.000000,48.01540,1.000000,19.08203,73.73047,1.000000,148.4000,1.900000
42834.00316716,1.000000,49.13650,1.000000,19.57031,74.21875,1.000000,151.0000,2.330000
42834.00328307,1.000000,49.11630,1.000000,19.57031,74.21875,1.000000,161.3000,2.200000
42834.00339899,1.000000,47.80330,1.000000,19.08203,74.21875,1.000000,147.6000,2.120000
42834.00351491,1.000000,48.46990,1.000000,19.57031,73.73047,1.000000,187.5000,1.760000
42834.00363082,1.000000,49.32840,1.000000,19.57031,73.73047,1.000000,167.8000,2.530000
42834.00374674,1.000000,48.98500,1.000000,19.57031,74.21875,1.000000,167.4000,2.540000
42834.00386266,1.000000,48.61130,1.000000,19.57031,74.70703,1.000000,175.1000,1.990000
42834.00397857,1.000000,48.41940,1.000000,19.57031,74.21875,1.000000,180.5000,1.480000
42834.00409449,1.000000,49.31830,1.000000,19.08203,74.21875,1.000000,152.5000,1.850000
42834.00421041,1.000000,48.38910,1.000000,19.57031,73.73047,1.000000,165.2000,1.780000
42834.00432632,1.000000,49.06580,1.000000,19.08203,74.21875,1.000000,173.0000,2.180000
42834.00444224,1.000000,48.56080,1.000000,19.57031,73.73047,1.000000,171.3000,1.520000
42834.00455816,1.000000,48.19720,1.000000,19.57031,74.21875,1.000000,171.9000,2.020000
42834.00467480,1.000000,48.30830,1.000000,19.08203,74.21875,1.000000,182.8000,1.870000
42834.00479071,1.000000,48.07600,1.000000,19.57031,74.70703,1.000000,179.8000,2.110000
42834.00490663,1.000000,48.32850,1.000000,19.57031,74.21875,1.000000,170.6000,1.760000
42834.00502255,1.000000,48.37900,1.000000,19.57031,74.21875,1.000000,165.3000,2.090000
42834.00513846,1.000000,47.85380,1.000000,19.57031,74.70703,1.000000,156.9000,1.270000
42834.00525438,1.000000,48.57090,1.000000,19.57031,74.21875,1.000000,159.1000,1.870000
42834.00537030,1.000000,48.91430,1.000000,19.57031,74.21875,1.000000,169.7000,2.260000
42834.00548621,1.000000,48.91430,1.000000,18.59375,74.21875,1.000000,171.2000,2.340000
42834.00560213,1.000000,48.71230,1.000000,19.57031,74.21875,1.000000,177.1000,2.190000
42834.00571805,1.000000,48.79310,1.000000,19.08203,74.21875,1.000000,174.4000,1.640000
42834.00583396,1.000000,49.18700,1.000000,19.08203,74.21875,1.000000,178.2000,2.040000
42834.00594988,1.000000,47.93460,1.000000,19.57031,74.70703,1.000000,169.4000,1.760000
42834.00606580,1.000000,48.67190,1.000000,19.57031,74.21875,1.000000,157.2000,1.640000
42834.00618171,1.000000,48.02550,1.000000,19.08203,74.21875,1.000000,170.4000,1.910000
42834.00629763,1.000000,48.23760,1.000000,19.08203,74.21875,1.000000,165.3000,2.130000
42834.00641463,1.000000,47.97500,1.000000,19.08203,74.21875,1.000000,160.9000,2.520000
42834.00653055,1.000000,47.53060,1.000000,19.08203,74.21875,1.000000,175.2000,2.120000
42834.00664646,1.000000,47.38920,1.000000,19.08203,74.21875,1.000000,181.9000,1.670000
42834.00676238,1.000000,48.65170,1.000000,19.08203,74.21875,1.000000,160.7000,0.8500000
42834.00687830,1.000000,49.22740,1.000000,19.08203,74.21875,1.000000,164.4000,1.830000
42834.00699421,1.000000,48.02550,1.000000,19.57031,73.73047,1.000000,165.4000,2.400000
42834.00711013,1.000000,47.84370,1.000000,19.57031,74.70703,1.000000,162.5000,2.380000
42834.00722605,1.000000,48.10630,1.000000,19.57031,74.21875,1.000000,150.0000,2.000000
42834.00734196,1.000000,48.41940,1.000000,19.08203,74.21875,1.000000,166.5000,1.870000
42834.00745788,1.000000,47.94470,1.000000,19.08203,74.21875,1.000000,171.1000,1.940000
42834.00757380,1.000000,48.79310,1.000000,19.57031,74.70703,1.000000,140.4000,2.030000
42834.00768971,1.000000,48.05580,1.000000,19.08203,73.73047,1.000000,158.5000,2.150000
42834.00780563,1.000000,48.14670,1.000000,19.57031,74.21875,1.000000,170.4000,1.510000
42834.00792155,1.000000,48.02550,1.000000,19.57031,74.70703,1.000000,165.5000,2.310000
42834.00803746,1.000000,47.66190,1.000000,19.08203,74.21875,1.000000,171.1000,1.970000
42834.00815338,1.000000,47.48010,1.000000,19.08203,74.21875,1.000000,160.1000,2.340000
42834.00826930,1.000000,48.32850,1.000000,19.08203,74.70703,1.000000,144.6000,2.790000
42834.00838521,1.000000,48.29820,1.000000,19.08203,75.19531,1.000000,163.2000,1.840000
42834.00850113,1.000000,48.66180,1.000000,19.57031,74.21875,1.000000,172.0000,1.910000
42834.00861705,1.000000,48.78300,1.000000,19.08203,74.70703,1.000000,177.4000,1.850000
