TheTime,HNET_CBH_HMP60_Flag,HNET_CBH_O3_O3conc_ppbv_conv,HNET_CBH_O3_Flag,HNET_CBH_HMP60_Temp_C,HNET_CBH_HMP60_RH_pct,HNET_CBH_RMY_Flag,HNET_CBH_RMY_WD_deg,HNET_CBH_RMY_WS_ms
42770.00018167,1.000000,25.12880,1.000000,11.26953,64.45313,1.000000,44.60000,5.550000
42770.00029759,1.000000,26.70440,1.000000,11.75781,63.96484,1.000000,27.80000,3.980000
42770.00041351,1.000000,26.00750,1.000000,11.26953,64.45313,1.000000,52.50000,4.990000
42770.00052942,1.000000,26.04790,1.000000,11.26953,63.96484,1.000000,87.20000,1.810000
42770.00064534,1.000000,25.34090,1.000000,11.75781,64.45313,1.000000,29.40000,3.340000
42770.00076126,1.000000,25.65400,1.000000,11.75781,64.45313,1.000000,45.20000,4.150000
42770.00087717,1.000000,25.86610,1.000000,11.26953,63.96484,1.000000,50.10000,3.860000
42770.00099309,1.000000,24.08850,1.000000,11.75781,64.45313,1.000000,82.20000,1.500000
42770.00110901,1.000000,24.64400,1.000000,11.75781,65.42969,1.000000,44.50000,1.370000
42770.00122492,1.000000,24.17940,1.000000,11.75781,64.94141,1.000000,16.80000,2.310000
42770.00134084,1.000000,23.89660,1.000000,11.75781,64.45313,1.000000,43.60000,3.900000
42770.00145676,1.000000,26.04790,1.000000,11.26953,64.94141,1.000000,53.90000,3.320000
42770.00157267,1.000000,25.83580,1.000000,11.26953,64.45313,1.000000,19.40000,4.330000
42770.00168859,1.000000,26.13880,1.000000,11.26953,64.45313,1.000000,50.90000,1.260000
42770.00180451,1.000000,25.86610,1.000000,11.75781,64.94141,1.000000,40.70000,4.230000
42770.00192042,1.000000,24.51270,1.000000,11.26953,65.42969,1.000000,52.80000,3.640000
42770.00203634,1.000000,23.66430,1.000000,11.26953,64.45313,1.000000,66.80000,3.940000
42770.00215226,1.000000,23.69460,1.000000,11.26953,64.45313,1.000000,49.70000,3.960000
42770.00226817,1.000000,24.67430,1.000000,11.75781,64.94141,1.000000,40.20000,3.570000
42770.00238409,1.000000,26.11860,1.000000,11.75781,65.42969,1.000000,49.90000,1.940000
42770.00250001,1.000000,24.14910,1.000000,11.26953,64.94141,1.000000,39.50000,2.620000
42770.00261610,1.000000,23.90670,1.000000,11.75781,64.94141,1.000000,56.10000,3.450000
42770.00273202,1.000000,24.60360,1.000000,11.75781,64.45313,1.000000,63.80000,3.940000
42770.00284848,1.000000,24.08850,1.000000,11.75781,65.42969,1.000000,56.00000,3.590000
42770.00296440,1.000000,24.57330,1.000000,11.26953,64.94141,1.000000,42.60000,2.610000
42770.00308031,1.000000,25.15910,1.000000,11.26953,64.94141,1.000000,48.70000,2.350000
42770.00319623,1.000000,23.19970,1.000000,11.75781,65.42969,1.000000,45.10000,3.800000
42770.00331215,1.000000,23.10880,1.000000,11.75781,65.42969,1.000000,40.70000,4.070000
42770.00342806,1.000000,24.85610,1.000000,11.75781,64.94141,1.000000,62.40000,3.080000
42770.00354398,1.000000,23.41180,1.000000,11.26953,64.45313,1.000000,43.10000,3.020000
42770.00365990,1.000000,24.17940,1.000000,11.75781,64.94141,1.000000,42.20000,3.570000
42770.00377581,1.000000,24.64400,1.000000,11.26953,65.42969,1.000000,47.80000,2.730000
42770.00389173,1.000000,24.91670,1.000000,11.75781,65.42969,1.000000,59.80000,2.370000
42770.00400765,1.000000,24.95710,1.000000,11.75781,65.42969,1.000000,57.30000,3.030000
42770.00412356,1.000000,24.39150,1.000000,11.75781,64.94141,1.000000,46.80000,3.280000
42770.00423948,1.000000,23.39160,1.000000,11.75781,65.42969,1.000000,55.10000,3.270000
42770.00435540,1.000000,23.59360,1.000000,11.26953,64.94141,1.000000,41.80000,2.460000
42770.00447131,1.000000,25.72470,1.000000,11.26953,65.42969,1.000000,62.50000,2.490000
42770.00458723,1.000000,24.60360,1.000000,11.75781,65.42969,1.000000,53.50000,3.690000
42770.00470315,1.000000,24.99750,1.000000,11.26953,64.94141,1.000000,41.50000,3.560000
42770.00481906,1.000000,25.13890,1.000000,11.26953,64.94141,1.000000,39.80000,4.270000
42770.00493498,1.000000,25.09850,1.000000,11.75781,65.42969,1.000000,64.30000,4.320000
42770.00505090,1.000000,25.16920,1.000000,11.26953,64.94141,1.000000,48.20000,4.310000
42770.00516681,1.000000,24.98740,1.000000,11.26953,64.94141,1.000000,51.90000,5.220000
42770.00528273,1.000000,26.18930,1.000000,10.78125,64.94141,1.000000,54.40000,4.860000
42770.00539865,1.000000,26.71450,1.000000,11.26953,64.94141,1.000000,52.40000,4.160000
42770.00551456,1.000000,25.93680,1.000000,11.26953,64.94141,1.000000,39.30000,1.100000
42770.00563048,1.000000,25.41160,1.000000,11.75781,64.45313,1.000000,39.50000,3.800000
42770.00574640,1.000000,26.46200,1.000000,11.26953,65.42969,1.000000,50.80000,3.830000
42770.00586231,1.000000,25.93680,1.000000,11.26953,64.94141,1.000000,52.70000,4.120000
42770.00597823,1.000000,25.71460,1.000000,11.75781,64.45313,1.000000,29.20000,3.260000
42770.00609415,1.000000,25.12880,1.000000,11.75781,64.45313,1.000000,58.80000,1.730000
42770.00621006,1.000000,25.62370,1.000000,11.26953,64.94141,1.000000,50.10000,3.070000
42770.00632598,1.000000,24.87630,1.000000,11.26953,64.94141,1.000000,40.70000,3.650000
42770.00644208,1.000000,24.17940,1.000000,11.75781,65.42969,1.000000,65.70000,2.930000
42770.00655799,1.000000,24.36120,1.000000,11.26953,64.94141,1.000000,60.00000,4.680000
42770.00667409,1.000000,23.72490,1.000000,11.75781,64.94141,1.000000,46.20000,4.120000
42770.00679001,1.000000,24.11880,1.000000,11.75781,64.94141,1.000000,54.70000,4.150000
42770.00690592,1.000000,24.94700,1.000000,11.26953,64.45313,1.000000,40.20000,3.380000
42770.00702177,1.000000,25.12880,1.000000,11.26953,64.94141,1.000000,44.60000,2.060000
42770.00713769,1.000000,26.46200,1.000000,11.26953,64.94141,1.000000,49.10000,2.990000
42770.00725360,1.000000,25.38130,1.000000,11.75781,65.42969,1.000000,95.40000,0.4600000
42770.00736952,1.000000,25.37120,1.000000,11.75781,65.42969,1.000000,60.90000,3.850000
42770.00748544,1.000000,24.51270,1.000000,11.75781,64.94141,1.000000,60.50000,3.180000
42770.00760135,1.000000,24.71470,1.000000,11.75781,64.94141,1.000000,59.40000,3.590000
42770.00771727,1.000000,26.21960,1.000000,11.75781,64.94141,1.000000,58.40000,2.990000
42770.00783319,1.000000,25.93680,1.000000,11.75781,64.94141,1.000000,60.40000,2.760000
42770.00794910,1.000000,24.85610,1.000000,11.26953,64.94141,1.000000,44.20000,3.640000
42770.00806502,1.000000,25.89640,1.000000,11.26953,64.94141,1.000000,28.80000,1.600000
42770.00818094,1.000000,26.28020,1.000000,11.75781,64.45313,1.000000,29.40000,1.640000
42770.00829685,1.000000,24.73490,1.000000,11.26953,65.42969,1.000000,28.50000,2.080000
42770.00841277,1.000000,26.10850,1.000000,11.26953,64.94141,1.000000,42.20000,3.110000
42770.00852869,1.000000,26.87610,1.000000,11.75781,64.94141,1.000000,54.00000,2.920000
42770.00864460,1.000000,26.14890,1.000000,11.75781,64.94141,1.000000,55.60000,3.550000
42770.00876052,1.000000,25.09850,1.000000,11.26953,65.91797,1.000000,62.70000,3.220000
42770.00887644,1.000000,24.30060,1.000000,11.26953,64.94141,1.000000,51.80000,3.390000
42770.00899235,1.000000,24.08850,1.000000,11.75781,65.42969,1.000000,55.60000,3.740000
42770.00910827,1.000000,24.11880,1.000000,11.75781,64.94141,1.000000,68.60000,3.880000
42770.00922419,1.000000,25.31060,1.000000,11.75781,64.94141,1.000000,82.70000,2.040000
42770.00934010,1.000000,24.85610,1.000000,11.26953,64.94141,1.000000,46.80000,3.280000
42770.00945602,1.000000,25.12880,1.000000,11.75781,65.91797,1.000000,14.50000,2.150000
42770.00957194,1.000000,25.65400,1.000000,11.26953,65.91797,1.000000,25.90000,3.480000
42770.00968785,1.000000,26.00750,1.000000,11.26953,65.42969,1.000000,32.00000,4.020000
42770.00980377,1.000000,24.43190,1.000000,11.75781,64.94141,1.000000,37.60000,3.040000
42770.00991969,1.000000,24.36120,1.000000,11.75781,64.94141,1.000000,45.90000,4.070000
42770.01003560,1.000000,23.90670,1.000000,11.26953,65.42969,1.000000,38.90000,3.480000
42770.01015152,1.000000,24.33090,1.000000,11.26953,65.42969,1.000000,16.60000,1.530000
42770.01026744,1.000000,24.64400,1.000000,11.75781,64.94141,1.000000,47.80000,3.170000
42770.01038335,1.000000,24.14910,1.000000,11.26953,64.94141,1.000000,34.90000,3.070000
42770.01049927,1.000000,24.74500,1.000000,11.26953,65.42969,1.000000,45.30000,3.640000
42770.01061519,1.000000,26.42160,1.000000,11.75781,65.42969,1.000000,49.20000,3.310000
42770.01073110,1.000000,25.55300,1.000000,11.26953,65.42969,1.000000,48.30000,2.890000
42770.01084702,1.000000,22.76540,1.000000,11.26953,65.42969,1.000000,61.00000,3.070000
42770.01096294,1.000000,26.14890,1.000000,11.75781,64.94141,1.000000,69.10000,3.230000
42770.01107885,1.000000,25.86610,1.000000,11.75781,64.94141,1.000000,57.70000,3.150000
42770.01119513,1.000000,23.59360,1.000000,11.26953,64.94141,1.000000,6.400000,2.150000
42770.01131105,1.000000,23.38150,1.000000,11.26953,65.42969,1.000000,44.40000,3.920000
42770.01142696,1.000000,24.40160,1.000000,11.75781,64.94141,1.000000,20.40000,3.070000
42770.01154288,1.000000,24.67430,1.000000,11.75781,65.42969,1.000000,8.500000,3.530000
42770.01165880,1.000000,25.55300,1.000000,11.75781,64.94141,1.000000,16.00000,2.650000
42770.01177471,1.000000,25.83580,1.000000,11.75781,65.42969,1.000000,50.10000,3.470000
42770.01189063,1.000000,25.65400,1.000000,11.75781,65.91797,1.000000,43.20000,4.020000
42770.01200655,1.000000,25.44190,1.000000,11.26953,65.42969,1.000000,76.90000,3.130000
42770.01212246,1.000000,24.92680,1.000000,11.26953,64.94141,1.000000,43.10000,3.400000
42770.01223838,1.000000,24.37130,1.000000,11.75781,65.42969,1.000000,48.30000,3.860000
42770.01235430,1.000000,23.83600,1.000000,11.26953,65.91797,1.000000,53.50000,3.430000
42770.01247021,1.000000,24.61370,1.000000,11.26953,65.42969,1.000000,37.20000,3.480000
42770.01258613,1.000000,24.79550,1.000000,11.75781,65.42969,1.000000,59.60000,3.400000
42770.01270205,1.000000,26.10850,1.000000,11.75781,65.42969,1.000000,70.50000,2.680000
42770.01281796,1.000000,24.11880,1.000000,11.26953,64.94141,1.000000,50.00000,3.090000
42770.01293388,1.000000,23.62390,1.000000,11.26953,65.42969,1.000000,64.10000,2.940000
42770.01304980,1.000000,24.02790,1.000000,11.26953,65.91797,1.000000,46.10000,2.350000
42770.01316571,1.000000,23.80570,1.000000,11.26953,66.40625,1.000000,43.10000,1.300000
42770.01328163,1.000000,25.45200,1.000000,11.75781,65.42969,1.000000,0.2000000,0.6800000
42770.01339755,1.000000,24.74500,1.000000,11.26953,65.42969,1.000000,28.60000,3.180000
42770.01351346,1.000000,24.57330,1.000000,11.75781,65.42969,1.000000,43.10000,1.860000
42770.01362938,1.000000,24.64400,1.000000,11.26953,65.42969,1.000000,74.80000,3.990000
42770.01374530,1.000000,23.90670,1.000000,12.24609,65.42969,1.000000,56.40000,4.000000
42770.01386121,1.000000,24.39150,1.000000,11.26953,65.42969,1.000000,61.70000,4.650000
42770.01397713,1.000000,23.16940,1.000000,11.75781,65.42969,1.000000,66.70000,6.570000
42770.01409305,1.000000,23.73500,1.000000,11.75781,64.94141,1.000000,63.80000,4.590000
