TheTime,HNET_CLH_HMP60_Flag,HNET_CLH_O3_conc_ppbv_conv,HNET_CLH_O3_Flag,HNET_CLH_HMP60_RH_pct,HNET_CLH_HMP60_Temp_C,HNET_CLH_RMY_Flag,HNET_CLH_RMY_WD_deg,HNET_CLH_RMY_WS_ms
42514.00022667,1.000000,240.8934,1.000000,90.42969,25.28320,1.000000,95.00000,2.200000
42514.00034259,1.000000,237.8334,1.000000,89.94141,25.67383,1.000000,104.0000,2.200000
42514.00045850,1.000000,241.4034,1.000000,89.94141,25.67383,1.000000,106.0000,2.200000
42514.00057442,1.000000,239.2614,1.000000,89.99023,24.94141,1.000000,128.0000,1.800000
42514.00069034,1.000000,236.4054,1.000000,89.99023,24.99023,1.000000,119.0000,1.200000
42514.00080625,1.000000,242.8314,1.000000,91.01563,24.94141,1.000000,116.0000,2.300000
42514.00092217,1.000000,244.5654,1.000000,90.03906,25.13672,1.000000,126.0000,3.000000
42514.00103809,1.000000,237.0174,1.000000,89.99023,25.18555,1.000000,132.0000,2.400000
42514.00115400,1.000000,232.7334,1.000000,89.69727,24.74609,1.000000,101.0000,2.900000
42514.00126992,1.000000,232.3254,1.000000,90.03906,25.38086,1.000000,113.0000,3.200000
42514.00138584,1.000000,233.0394,1.000000,89.94141,25.03906,1.000000,120.0000,2.900000
42514.00150175,1.000000,242.0154,1.000000,89.79492,25.13672,1.000000,147.0000,1.800000
42514.00161767,1.000000,243.4434,1.000000,89.74609,24.99023,1.000000,126.0000,1.600000
42514.00173359,1.000000,243.8514,1.000000,90.03906,26.35742,1.000000,148.0000,3.500000
42514.00184950,1.000000,244.7694,1.000000,89.69727,24.79492,1.000000,131.0000,3.300000
42514.00196542,1.000000,241.3014,1.000000,89.84375,24.89258,1.000000,139.0000,2.700000
42514.00208134,1.000000,241.3014,1.000000,90.28320,25.08789,1.000000,94.00000,2.000000
42514.00219725,1.000000,245.2794,1.000000,89.45313,25.18555,1.000000,116.0000,1.700000
42514.00231335,1.000000,245.9934,1.000000,89.94141,25.18555,1.000000,117.0000,2.300000
42514.00242927,1.000000,240.6894,1.000000,89.99023,26.21094,1.000000,122.0000,2.900000
42514.00254519,1.000000,247.3194,1.000000,89.55078,25.23438,1.000000,117.0000,3.100000
42514.00266110,1.000000,246.0954,1.000000,89.64844,25.18555,1.000000,122.0000,2.700000
42514.00277702,1.000000,241.9134,1.000000,89.84375,24.84375,1.000000,108.0000,1.500000
42514.00289294,1.000000,242.9334,1.000000,90.28320,25.96680,1.000000,108.0000,2.000000
42514.00300885,1.000000,246.9114,1.000000,90.03906,25.28320,1.000000,138.0000,2.100000
42514.00312477,1.000000,246.7074,1.000000,90.18555,25.28320,1.000000,141.0000,2.500000
42514.00324087,1.000000,242.4234,1.000000,90.03906,24.94141,1.000000,128.0000,2.100000
42514.00335678,1.000000,236.9154,1.000000,90.23438,25.42969,1.000000,148.0000,2.100000
42514.00347270,1.000000,239.4654,1.000000,90.18555,25.57617,1.000000,125.0000,1.800000
