TheTime,HNET_CLH_HMP60_Flag,HNET_CLH_O3_conc_ppbv_conv,HNET_CLH_O3_Flag,HNET_CLH_HMP60_RH_pct,HNET_CLH_HMP60_Temp_C,HNET_CLH_RMY_Flag,HNET_CLH_RMY_WD_deg,HNET_CLH_RMY_WS_ms
42513.00020780,1.000000,31.42620,1.000000,92.08984,24.25781,1.000000,67.00000,1.100000
42513.00032372,1.000000,30.21240,1.000000,91.55273,23.13477,1.000000,68.00000,0.6000000
42513.00043981,1.000000,28.83540,1.000000,92.33398,23.28125,1.000000,69.00000,1.400000
42513.00055573,1.000000,29.15160,1.000000,91.79688,23.42773,1.000000,74.00000,1.200000
42513.00067165,1.000000,30.52860,1.000000,92.48047,23.37891,1.000000,74.00000,1.300000
42513.00078756,1.000000,31.46700,1.000000,91.89453,23.67188,1.000000,63.00000,1.600000
42513.00090348,1.000000,31.29360,1.000000,92.04102,23.18359,1.000000,88.00000,1.000000
42513.00101940,1.000000,30.98760,1.000000,91.99219,24.01367,1.000000,85.00000,1.200000
42513.00113531,1.000000,30.97740,1.000000,92.18750,23.28125,1.000000,91.00000,1.700000
42513.00125123,1.000000,31.24260,1.000000,92.48047,23.13477,1.000000,64.00000,1.500000
42513.00136715,1.000000,31.31400,1.000000,91.94336,22.50000,1.000000,75.00000,1.600000
42513.00148306,1.000000,30.75300,1.000000,92.38281,23.03711,1.000000,76.00000,1.400000
42513.00159898,1.000000,30.23280,1.000000,92.33398,23.37891,1.000000,69.00000,1.500000
42513.00171508,1.000000,30.81420,1.000000,92.23633,23.42773,1.000000,58.00000,1.500000
42513.00183099,1.000000,30.79380,1.000000,92.23633,22.93945,1.000000,56.00000,1.700000
42513.00194691,1.000000,29.99820,1.000000,92.28516,23.33008,1.000000,86.00000,2.200000
42513.00206283,1.000000,29.98800,1.000000,91.55273,22.98828,1.000000,88.00000,2.200000
42513.00217874,1.000000,30.61020,1.000000,92.33398,24.40430,1.000000,56.00000,1.700000
42513.00229466,1.000000,31.48740,1.000000,91.94336,23.47656,1.000000,75.00000,1.100000
42513.00241058,1.000000,31.51800,1.000000,92.67578,23.47656,1.000000,74.00000,1.500000
42513.00252649,1.000000,31.22220,1.000000,92.72461,23.08594,1.000000,68.00000,1.400000
42513.00264241,1.000000,31.14060,1.000000,91.99219,23.33008,1.000000,67.00000,1.300000
42513.00275833,1.000000,30.17160,1.000000,92.67578,23.42773,1.000000,86.00000,1.400000
42513.00287424,1.000000,29.39640,1.000000,92.28516,23.33008,1.000000,72.00000,1.000000
42513.00299016,1.000000,31.00800,1.000000,92.08984,23.13477,1.000000,39.00000,1.100000
42513.00310608,1.000000,31.68120,1.000000,92.18750,23.42773,1.000000,63.00000,2.100000
42513.00322199,1.000000,29.96760,1.000000,92.52930,22.54883,1.000000,60.00000,1.800000
42513.00333791,1.000000,28.90680,1.000000,91.74805,23.23242,1.000000,78.00000,1.700000
42513.00345383,1.000000,29.54940,1.000000,92.08984,22.98828,1.000000,72.00000,1.900000
42513.00356974,1.000000,30.29400,1.000000,91.50391,22.93945,1.000000,75.00000,1.400000
42513.00368566,1.000000,30.31440,1.000000,92.43164,23.33008,1.000000,89.00000,1.300000
42513.00380158,1.000000,30.15120,1.000000,92.08984,23.81836,1.000000,99.00000,1.500000
42513.00391749,1.000000,30.93660,1.000000,92.38281,23.23242,1.000000,69.00000,1.200000
42513.00403341,1.000000,31.28340,1.000000,92.62695,22.69531,1.000000,71.00000,1.100000
42513.00414933,1.000000,30.94680,1.000000,92.48047,23.72070,1.000000,68.00000,1.200000
42513.00426524,1.000000,30.05940,1.000000,91.94336,23.13477,1.000000,73.00000,1.500000
42513.00438116,1.000000,30.02880,1.000000,92.38281,22.69531,1.000000,76.00000,2.300000
42513.00449708,1.000000,30.82440,1.000000,92.04102,23.62305,1.000000,91.00000,1.500000
42513.00461299,1.000000,30.65100,1.000000,92.23633,23.18359,1.000000,85.00000,1.500000
42513.00472891,1.000000,30.46740,1.000000,92.57813,23.72070,1.000000,67.00000,1.300000
42513.00484483,1.000000,30.36540,1.000000,92.77344,23.03711,1.000000,76.00000,1.100000
42513.00496074,1.000000,30.14100,1.000000,92.87109,23.33008,1.000000,76.00000,1.700000
42513.00507666,1.000000,30.88560,1.000000,92.28516,23.33008,1.000000,97.00000,1.000000
42513.00519258,1.000000,30.63060,1.000000,92.48047,23.28125,1.000000,96.00000,1.400000
42513.00530849,1.000000,30.11040,1.000000,92.57813,23.37891,1.000000,82.00000,1.700000
42513.00542441,1.000000,31.12020,1.000000,92.72461,22.98828,1.000000,78.00000,1.600000
42513.00554033,1.000000,31.95660,1.000000,92.43164,23.23242,1.000000,75.00000,1.900000
42513.00565624,1.000000,31.81380,1.000000,92.77344,23.23242,1.000000,60.00000,1.700000
42513.00577216,1.000000,31.16100,1.000000,92.87109,23.13477,1.000000,93.00000,1.800000
42513.00588808,1.000000,30.27360,1.000000,92.13867,23.33008,1.000000,95.00000,1.300000
42513.00600399,1.000000,30.90600,1.000000,92.23633,23.67188,1.000000,61.00000,0.7000000
42513.00612009,1.000000,30.78360,1.000000,92.28516,23.62305,1.000000,115.0000,1.000000
42513.00623601,1.000000,29.96760,1.000000,92.33398,23.28125,1.000000,89.00000,0.6000000
42513.00635192,1.000000,28.66200,1.000000,92.28516,23.42773,1.000000,79.00000,0.7000000
42513.00646784,1.000000,28.50900,1.000000,92.67578,23.28125,1.000000,89.00000,1.400000
42513.00658376,1.000000,30.60000,1.000000,92.38281,24.16016,1.000000,109.0000,0.8000000
42513.00669967,1.000000,30.51840,1.000000,93.60352,23.37891,1.000000,109.0000,1.100000
42513.00681559,1.000000,29.30460,1.000000,92.28516,23.28125,1.000000,89.00000,1.300000
42513.00693151,1.000000,29.33520,1.000000,92.52930,22.30469,1.000000,91.00000,2.100000
42513.00704742,1.000000,30.85500,1.000000,92.48047,23.57422,1.000000,91.00000,2.400000
42513.00716334,1.000000,31.73220,1.000000,92.52930,23.47656,1.000000,122.0000,1.800000
42513.00727926,1.000000,31.14060,1.000000,92.77344,23.23242,1.000000,102.0000,1.700000
42513.00739517,1.000000,29.54940,1.000000,92.62695,23.37891,1.000000,93.00000,1.600000
42513.00751109,1.000000,29.60040,1.000000,92.82227,23.47656,1.000000,109.0000,1.500000
42513.00762701,1.000000,30.44700,1.000000,93.35938,23.03711,1.000000,96.00000,1.600000
42513.00774292,1.000000,30.31440,1.000000,91.84570,23.67188,1.000000,105.0000,1.400000
42513.00785884,1.000000,30.32460,1.000000,92.52930,23.62305,1.000000,100.0000,1.500000
42513.00797476,1.000000,30.04920,1.000000,92.57813,22.84180,1.000000,102.0000,1.500000
42513.00809067,1.000000,29.98800,1.000000,93.50586,23.23242,1.000000,91.00000,1.300000
42513.00820659,1.000000,29.92680,1.000000,92.96875,23.42773,1.000000,85.00000,1.200000
42513.00832269,1.000000,29.62080,1.000000,92.23633,22.93945,1.000000,77.00000,1.900000
42513.00843860,1.000000,30.04920,1.000000,92.91992,22.06055,1.000000,99.00000,1.400000
42513.00855452,1.000000,31.21200,1.000000,92.67578,24.40430,1.000000,93.00000,1.200000
42513.00867044,1.000000,30.50820,1.000000,92.62695,23.37891,1.000000,74.00000,1.100000
42513.00878635,1.000000,29.45760,1.000000,93.26172,23.57422,1.000000,80.00000,1.500000
42513.00890227,1.000000,29.60040,1.000000,92.72461,23.18359,1.000000,74.00000,1.200000
42513.00901819,1.000000,30.75300,1.000000,92.77344,23.13477,1.000000,103.0000,2.300000
42513.00913410,1.000000,31.26300,1.000000,93.26172,23.72070,1.000000,85.00000,1.400000
42513.00925010,1.000000,30.49800,1.000000,93.16406,23.28125,1.000000,113.0000,0.7000000
42513.00936602,1.000000,29.68200,1.000000,93.11523,23.67188,1.000000,101.0000,1.400000
42513.00948193,1.000000,30.16140,1.000000,92.62695,23.57422,1.000000,71.00000,1.100000
42513.00959785,1.000000,30.54900,1.000000,93.01758,23.47656,1.000000,89.00000,0.6000000
42513.00971377,1.000000,29.34540,1.000000,92.91992,23.52539,1.000000,103.0000,1.000000
42513.00982968,1.000000,28.91700,1.000000,93.55469,23.86719,1.000000,100.0000,0.9000000
42513.00994560,1.000000,29.48820,1.000000,92.87109,23.18359,1.000000,112.0000,0.9000000
42513.01006152,1.000000,29.22300,1.000000,92.82227,24.06250,1.000000,92.00000,0.9000000
42513.01017743,1.000000,28.38660,1.000000,92.77344,23.72070,1.000000,116.0000,1.300000
42513.01029335,1.000000,28.79460,1.000000,93.31055,23.28125,1.000000,114.0000,1.100000
42513.01040927,1.000000,29.77380,1.000000,92.91992,23.91602,1.000000,108.0000,1.200000
42513.01052518,1.000000,29.33520,1.000000,92.82227,23.96484,1.000000,99.00000,1.600000
42513.01064110,1.000000,29.05980,1.000000,92.91992,23.57422,1.000000,95.00000,1.700000
42513.01075702,1.000000,29.18220,1.000000,92.91992,23.37891,1.000000,104.0000,1.400000
42513.01087293,1.000000,29.37600,1.000000,92.67578,23.37891,1.000000,99.00000,1.200000
42513.01098885,1.000000,29.42700,1.000000,92.62695,23.03711,1.000000,105.0000,1.000000
42513.01110477,1.000000,29.12100,1.000000,92.91992,23.47656,1.000000,85.00000,1.000000
42513.01122068,1.000000,28.70280,1.000000,92.48047,23.42773,1.000000,115.0000,1.300000
42513.01133660,1.000000,27.93780,1.000000,93.65234,22.79297,1.000000,91.00000,0.7000000
42513.01145252,1.000000,28.16220,1.000000,92.77344,23.23242,1.000000,104.0000,0.3000000
42513.01156843,1.000000,29.19240,1.000000,93.06641,23.13477,1.000000,97.00000,0.7000000
42513.01168435,1.000000,30.15120,1.000000,93.65234,23.67188,1.000000,132.0000,1.200000
42513.01180045,1.000000,30.73260,1.000000,93.31055,23.18359,1.000000,93.00000,1.300000
42513.01191636,1.000000,30.41640,1.000000,93.16406,22.98828,1.000000,104.0000,1.800000
42513.01203228,1.000000,30.34500,1.000000,93.31055,22.93945,1.000000,97.00000,2.400000
42513.01214820,1.000000,30.58980,1.000000,92.82227,23.23242,1.000000,108.0000,1.700000
42513.01226411,1.000000,29.62080,1.000000,93.26172,23.33008,1.000000,123.0000,2.000000
42513.01238003,1.000000,27.62160,1.000000,93.31055,23.28125,1.000000,95.00000,0.8000000
42513.01249595,1.000000,28.46820,1.000000,93.16406,22.50000,1.000000,124.0000,1.100000
42513.01261186,1.000000,29.67180,1.000000,92.87109,22.98828,1.000000,97.00000,0.9000000
42513.01272778,1.000000,29.68200,1.000000,92.57813,23.52539,1.000000,120.0000,1.200000
42513.01284370,1.000000,29.98800,1.000000,92.91992,23.13477,1.000000,115.0000,1.300000
42513.01295961,1.000000,30.01860,1.000000,93.26172,23.67188,1.000000,106.0000,1.200000
42513.01307571,1.000000,29.44740,1.000000,92.91992,24.25781,1.000000,107.0000,1.200000
42513.01319163,1.000000,29.16180,1.000000,93.21289,22.93945,1.000000,118.0000,0.7000000
42513.01330754,1.000000,28.81500,1.000000,92.38281,23.23242,1.000000,98.00000,0.8000000
42513.01342346,1.000000,28.74360,1.000000,92.96875,23.76953,1.000000,104.0000,1.000000
42513.01353938,1.000000,29.82480,1.000000,93.65234,23.81836,1.000000,66.00000,1.000000
42513.01365529,1.000000,29.86560,1.000000,93.06641,23.91602,1.000000,114.0000,1.100000
42513.01377121,1.000000,30.12060,1.000000,92.91992,23.52539,1.000000,106.0000,1.200000
42513.01388713,1.000000,30.78360,1.000000,92.82227,23.18359,1.000000,80.00000,0.7000000
42513.01400304,1.000000,29.45760,1.000000,93.50586,23.47656,1.000000,104.0000,1.000000
42513.01411896,1.000000,28.16220,1.000000,92.91992,23.18359,1.000000,104.0000,0.9000000
42513.01423488,1.000000,28.93740,1.000000,93.16406,23.91602,1.000000,125.0000,0.7000000
42513.01435079,1.000000,29.26380,1.000000,92.48047,23.86719,1.000000,116.0000,0.6000000
42513.01446671,1.000000,28.54980,1.000000,92.57813,23.47656,1.000000,118.0000,0.8000000
42513.01458263,1.000000,28.19280,1.000000,93.11523,23.52539,1.000000,109.0000,0.9000000
42513.01469854,1.000000,28.57020,1.000000,92.52930,23.28125,1.000000,112.0000,0.5000000
42513.01481446,1.000000,30.20220,1.000000,93.45703,23.18359,1.000000,87.00000,1.000000
42513.01493038,1.000000,29.95740,1.000000,92.77344,22.84180,1.000000,107.0000,1.400000
42513.01504647,1.000000,30.48780,1.000000,92.96875,23.47656,1.000000,104.0000,1.100000
42513.01516239,1.000000,32.74200,1.000000,93.35938,23.47656,1.000000,107.0000,1.100000
42513.01527831,1.000000,32.06880,1.000000,93.11523,24.45313,1.000000,100.0000,1.200000
42513.01539422,1.000000,31.33440,1.000000,92.87109,23.57422,1.000000,118.0000,1.100000
42513.01551014,1.000000,31.59960,1.000000,92.82227,23.96484,1.000000,104.0000,2.300000
42513.01562606,1.000000,31.36500,1.000000,93.60352,23.37891,1.000000,90.00000,2.200000
42513.01574197,1.000000,30.52860,1.000000,93.06641,23.18359,1.000000,117.0000,1.600000
42513.01585789,1.000000,29.88600,1.000000,92.67578,23.62305,1.000000,114.0000,1.500000
42513.01597381,1.000000,31.49760,1.000000,93.31055,23.13477,1.000000,124.0000,1.600000
42513.01608972,1.000000,32.54820,1.000000,93.35938,23.33008,1.000000,106.0000,1.900000
42513.01620564,1.000000,30.81420,1.000000,93.01758,23.13477,1.000000,114.0000,1.700000
42513.01632156,1.000000,28.47840,1.000000,93.16406,23.96484,1.000000,99.00000,1.600000
42513.01643747,1.000000,30.05940,1.000000,92.48047,23.23242,1.000000,104.0000,1.200000
42513.01655357,1.000000,31.81380,1.000000,93.35938,22.79297,1.000000,122.0000,1.100000
42513.01666949,1.000000,31.54860,1.000000,93.50586,23.47656,1.000000,133.0000,0.8000000
42513.01678541,1.000000,31.05900,1.000000,93.26172,22.89063,1.000000,100.0000,1.000000
42513.01690132,1.000000,30.46740,1.000000,93.84766,23.23242,1.000000,83.00000,1.000000
42513.01701724,1.000000,30.31440,1.000000,93.45703,23.76953,1.000000,112.0000,2.000000
42513.01713316,1.000000,30.74280,1.000000,93.06641,23.08594,1.000000,93.00000,1.000000
42513.01724907,1.000000,31.34460,1.000000,92.87109,23.28125,1.000000,108.0000,1.500000
42513.01736499,1.000000,32.89500,1.000000,93.31055,22.89063,1.000000,117.0000,1.600000
42513.01748091,1.000000,33.57840,1.000000,93.31055,23.03711,1.000000,103.0000,1.100000
42513.01759682,1.000000,32.39520,1.000000,92.96875,23.42773,1.000000,105.0000,1.000000
42513.01771274,1.000000,31.43640,1.000000,93.40820,23.28125,1.000000,85.00000,1.800000
42513.01782866,1.000000,31.13040,1.000000,93.31055,23.28125,1.000000,124.0000,1.200000
42513.01794457,1.000000,30.42660,1.000000,93.16406,22.79297,1.000000,0,95.00000
42513.01806049,1.000000,31.12020,1.000000,93.84766,23.42773,1.000000,112.0000,1.700000
42513.01817641,1.000000,33.72120,1.000000,93.11523,23.18359,1.000000,136.0000,1.500000
42513.01829232,1.000000,34.36380,1.000000,92.82227,23.47656,1.000000,118.0000,1.000000
42513.01840824,1.000000,34.76160,1.000000,93.35938,23.18359,1.000000,120.0000,1.100000
42513.01852416,1.000000,35.07780,1.000000,92.96875,23.18359,1.000000,112.0000,1.700000
42513.01864007,1.000000,33.01740,1.000000,92.96875,23.28125,1.000000,120.0000,1.700000
42513.01875617,1.000000,31.12020,1.000000,93.31055,23.86719,1.000000,118.0000,1.200000
42513.01887209,1.000000,31.99740,1.000000,92.77344,23.08594,1.000000,122.0000,0.9000000
42513.01898800,1.000000,32.42580,1.000000,93.55469,23.47656,1.000000,100.0000,1.000000
42513.01910392,1.000000,31.90560,1.000000,93.84766,23.33008,1.000000,97.00000,0.8000000
42513.01921984,1.000000,33.10920,1.000000,92.77344,23.47656,1.000000,84.00000,1.400000
42513.01933575,1.000000,32.90520,1.000000,93.35938,23.33008,1.000000,67.00000,1.100000
42513.01945167,1.000000,31.96680,1.000000,92.43164,22.93945,1.000000,73.00000,1.200000
42513.01956759,1.000000,33.23160,1.000000,93.26172,23.37891,1.000000,73.00000,1.400000
42513.01968350,1.000000,34.95540,1.000000,93.11523,23.42773,1.000000,126.0000,1.600000
42513.01979942,1.000000,34.99620,1.000000,92.91992,22.64648,1.000000,96.00000,1.200000
42513.01991523,1.000000,34.56780,1.000000,93.16406,23.37891,1.000000,104.0000,1.600000
42513.02003115,1.000000,34.28220,1.000000,92.91992,23.33008,1.000000,99.00000,1.400000
42513.02014707,1.000000,33.86400,1.000000,92.91992,22.89063,1.000000,94.00000,1.300000
42513.02026298,1.000000,34.24140,1.000000,93.01758,22.98828,1.000000,107.0000,1.100000
42513.02037890,1.000000,34.24140,1.000000,93.40820,23.57422,1.000000,97.00000,1.100000
42513.02049482,1.000000,32.02800,1.000000,93.45703,22.74414,1.000000,100.0000,1.300000
42513.02061073,1.000000,32.34420,1.000000,92.96875,24.79492,1.000000,93.00000,1.000000
42513.02072665,1.000000,34.44540,1.000000,92.91992,23.33008,1.000000,120.0000,0.7000000
42513.02084257,1.000000,34.80240,1.000000,93.21289,23.42773,1.000000,62.00000,1.200000
42513.02095848,1.000000,33.66000,1.000000,92.48047,23.28125,1.000000,119.0000,1.100000
42513.02107440,1.000000,32.17080,1.000000,92.91992,24.20898,1.000000,106.0000,1.300000
42513.02119032,1.000000,31.28340,1.000000,92.96875,23.28125,1.000000,93.00000,1.100000
42513.02130623,1.000000,31.06920,1.000000,92.62695,22.79297,1.000000,95.00000,1.200000
42513.02142215,1.000000,32.39520,1.000000,93.45703,22.84180,1.000000,104.0000,0.9000000
42513.02153807,1.000000,34.13940,1.000000,92.87109,23.37891,1.000000,134.0000,1.000000
42513.02165398,1.000000,33.10920,1.000000,92.43164,23.33008,1.000000,120.0000,1.500000
42513.02176990,1.000000,31.33440,1.000000,92.91992,23.72070,1.000000,81.00000,0.5000000
42513.02188582,1.000000,31.16100,1.000000,93.06641,23.13477,1.000000,74.00000,0.5000000
42513.02200173,1.000000,32.34420,1.000000,93.70117,23.52539,1.000000,89.00000,1.000000
42513.02211765,1.000000,32.83380,1.000000,93.40820,22.93945,1.000000,83.00000,1.500000
42513.02223357,1.000000,33.75180,1.000000,93.60352,23.37891,1.000000,95.00000,1.600000
42513.02234966,1.000000,34.78200,1.000000,93.11523,22.79297,1.000000,69.00000,1.000000
42513.02246558,1.000000,33.70080,1.000000,92.96875,23.08594,1.000000,83.00000,0.8000000
42513.02258150,1.000000,33.16020,1.000000,93.45703,23.28125,1.000000,87.00000,1.100000
42513.02269741,1.000000,33.92520,1.000000,93.06641,23.47656,1.000000,91.00000,1.100000
42513.02281333,1.000000,34.40460,1.000000,92.77344,23.62305,1.000000,86.00000,1.400000
42513.02292925,1.000000,33.47640,1.000000,92.82227,23.47656,1.000000,75.00000,1.400000
42513.02304516,1.000000,32.43600,1.000000,92.87109,22.89063,1.000000,92.00000,1.500000
42513.02316108,1.000000,33.01740,1.000000,92.87109,24.01367,1.000000,99.00000,1.500000
42513.02327700,1.000000,33.66000,1.000000,92.96875,23.33008,1.000000,88.00000,1.700000
42513.02339291,1.000000,34.26180,1.000000,92.91992,23.47656,1.000000,86.00000,1.800000
