TheTime,HNET_CCH_O3_conc_ppbv_conv,HNET_CCH_HMP60_Flag,HNET_CCH_O3_Flag,HNET_CCH_HMP60_RH_pct,HNET_CCH_HMP60_Temp_C,HNET_CCH_RMY_Flag,HNET_CCH_RMY_WD_Deg,HNET_CCH_RMY_WS_ms
42540.00021661,19.59400,1.000000,1.000000,92.38281,25.08789,1.000000,39.40000,2.240000
42540.00033253,19.79770,1.000000,1.000000,92.13867,24.84375,1.000000,31.10000,1.840000
42540.00044844,19.43880,1.000000,1.000000,92.18750,24.79492,1.000000,32.50000,1.080000
42540.00056436,18.62400,1.000000,1.000000,92.13867,24.79492,1.000000,57.20000,2.570000
42540.00068028,18.71130,1.000000,1.000000,92.13867,24.79492,1.000000,35.20000,0.4200000
42540.00079619,19.71040,1.000000,1.000000,92.08984,24.94141,1.000000,10.60000,1.660000
42540.00091211,19.89470,1.000000,1.000000,92.13867,24.89258,1.000000,29.60000,3.260000
42540.00102803,20.75800,1.000000,1.000000,92.23633,24.74609,1.000000,28.60000,2.580000
42540.00114394,20.36030,1.000000,1.000000,92.08984,24.89258,1.000000,30.00000,2.160000
42540.00125986,19.66190,1.000000,1.000000,92.18750,24.84375,1.000000,25.20000,1.550000
42540.00137578,20.53490,1.000000,1.000000,92.18750,24.94141,1.000000,11.40000,0.9100000
42540.00149169,20.33120,1.000000,1.000000,92.13867,24.89258,1.000000,28.80000,1.420000
42540.00160761,19.39030,1.000000,1.000000,92.28516,24.94141,1.000000,39.30000,1.080000
42540.00172353,20.03050,1.000000,1.000000,92.43164,25.08789,1.000000,35.20000,0.7600000
42540.00183944,19.87530,1.000000,1.000000,92.18750,24.79492,1.000000,38.10000,1.230000
42540.00195536,19.70070,1.000000,1.000000,92.23633,24.84375,1.000000,357.3000,1.240000
42540.00207146,19.92380,1.000000,1.000000,92.28516,24.94141,1.000000,51.30000,2.660000
42540.00218755,20.13720,1.000000,1.000000,92.08984,24.89258,1.000000,12.90000,2.150000
42540.00230342,20.42820,1.000000,1.000000,92.18750,24.79492,1.000000,1.200000,2.110000
42540.00241933,20.43790,1.000000,1.000000,92.18750,24.79492,1.000000,50.50000,1.840000
42540.00253525,19.96260,1.000000,1.000000,92.23633,24.79492,1.000000,56.50000,1.290000
42540.00265117,19.73950,1.000000,1.000000,92.33398,24.84375,1.000000,78.50000,0.9000000
42540.00276708,19.93350,1.000000,1.000000,92.28516,24.74609,1.000000,13.70000,1.210000
42540.00288300,20.28270,1.000000,1.000000,92.18750,24.74609,1.000000,6.600000,1.260000
42540.00299892,20.63190,1.000000,1.000000,92.23633,24.84375,1.000000,10.60000,1.630000
42540.00311483,20.44760,1.000000,1.000000,92.18750,24.74609,1.000000,64.40000,2.510000
42540.00323075,19.92380,1.000000,1.000000,92.28516,24.84375,1.000000,48.00000,2.450000
42540.00334667,20.27300,1.000000,1.000000,92.38281,24.79492,1.000000,23.90000,4.080000
42540.00346258,20.61250,1.000000,1.000000,92.18750,24.69727,1.000000,351.2000,1.650000
42540.00357850,20.83560,1.000000,1.000000,92.23633,24.84375,1.000000,50.50000,2.520000
42540.00369442,20.85500,1.000000,1.000000,92.28516,24.79492,1.000000,86.80000,1.680000
42540.00381033,20.65130,1.000000,1.000000,92.13867,24.79492,1.000000,6.400000,1.370000
42540.00392625,20.73860,1.000000,1.000000,92.28516,24.79492,1.000000,17.10000,1.130000
42540.00404217,20.68040,1.000000,1.000000,92.28516,24.89258,1.000000,42.60000,1.280000
42540.00415808,19.92380,1.000000,1.000000,92.33398,24.84375,1.000000,23.10000,0.6800000
42540.00427400,20.46700,1.000000,1.000000,92.38281,24.59961,1.000000,79.20000,1.030000
42540.00438992,20.76770,1.000000,1.000000,92.23633,24.84375,1.000000,33.10000,1.720000
42540.00450583,21.11690,1.000000,1.000000,92.43164,24.94141,1.000000,17.40000,1.850000
42540.00462175,21.17510,1.000000,1.000000,92.23633,24.69727,1.000000,10.30000,2.140000
42540.00473767,21.46610,1.000000,1.000000,92.18750,24.79492,1.000000,45.00000,1.170000
42540.00485358,21.12660,1.000000,1.000000,92.18750,24.84375,1.000000,48.60000,1.330000
42540.00496950,20.64160,1.000000,1.000000,92.38281,24.84375,1.000000,49.30000,1.830000
42540.00508542,21.17510,1.000000,1.000000,92.23633,24.89258,1.000000,62.20000,1.860000
42540.00520151,21.11690,1.000000,1.000000,92.28516,24.74609,1.000000,3.300000,2.320000
42540.00531743,21.33030,1.000000,1.000000,92.18750,24.84375,1.000000,20.70000,0.9600000
42540.00543335,21.16540,1.000000,1.000000,92.28516,24.79492,1.000000,48.90000,1.070000
42540.00554926,21.29150,1.000000,1.000000,92.23633,24.74609,1.000000,39.20000,1.290000
42540.00566518,21.31090,1.000000,1.000000,92.18750,24.64844,1.000000,15.90000,1.290000
42540.00578110,21.26240,1.000000,1.000000,92.18750,24.89258,1.000000,57.20000,0.8900000
42540.00589701,20.94230,1.000000,1.000000,92.28516,24.89258,1.000000,45.20000,1.480000
42540.00601293,20.93260,1.000000,1.000000,92.28516,24.79492,1.000000,63.40000,1.860000
42540.00612885,21.21390,1.000000,1.000000,92.28516,24.94141,1.000000,53.90000,1.660000
42540.00624476,21.44670,1.000000,1.000000,92.48047,24.84375,1.000000,64.80000,1.650000
42540.00636068,20.72890,1.000000,1.000000,92.38281,24.84375,1.000000,45.80000,1.480000
42540.00647660,20.45730,1.000000,1.000000,92.28516,24.79492,1.000000,31.00000,0.4800000
42540.00659251,20.43790,1.000000,1.000000,92.18750,24.79492,1.000000,20.50000,0
42540.00670843,20.41850,1.000000,1.000000,92.23633,24.74609,1.000000,29.40000,0.4400000
42540.00682435,20.65130,1.000000,1.000000,92.23633,24.74609,1.000000,23.00000,0.2900000
42540.00694026,21.20420,1.000000,1.000000,92.28516,24.79492,1.000000,72.50000,0.6400000
42540.00705618,20.93260,1.000000,1.000000,92.33398,24.74609,1.000000,98.40000,0.9700000
42540.00717210,20.24390,1.000000,1.000000,92.33398,24.79492,1.000000,57.60000,0.9500000
42540.00728819,20.05960,1.000000,1.000000,92.33398,24.64844,1.000000,353.7000,1.630000
42540.00740411,20.28270,1.000000,1.000000,92.33398,24.79492,1.000000,20.70000,1.720000
42540.00752003,20.99080,1.000000,1.000000,92.28516,24.74609,1.000000,18.80000,1.800000
42540.00763594,20.85500,1.000000,1.000000,92.23633,24.79492,1.000000,71.20000,1.630000
42540.00775186,20.69010,1.000000,1.000000,92.23633,24.79492,1.000000,7.500000,1.340000
42540.00786796,20.98110,1.000000,1.000000,92.33398,24.84375,1.000000,32.50000,1.190000
42540.00798387,20.53490,1.000000,1.000000,92.43164,24.89258,1.000000,38.70000,1.060000
42540.00809979,20.51550,1.000000,1.000000,92.33398,24.84375,1.000000,35.20000,1.150000
42540.00821571,20.40880,1.000000,1.000000,92.23633,24.84375,1.000000,52.30000,1.390000
42540.00833162,20.62220,1.000000,1.000000,92.48047,24.89258,1.000000,57.10000,1.260000
42540.00844754,21.00050,1.000000,1.000000,92.48047,24.79492,1.000000,48.70000,1.370000
42540.00856346,20.15660,1.000000,1.000000,92.33398,24.74609,1.000000,52.30000,0.8300000
42540.00867937,20.77740,1.000000,1.000000,92.33398,24.89258,1.000000,51.60000,1.130000
42540.00879529,21.11690,1.000000,1.000000,92.33398,24.74609,1.000000,58.20000,1.130000
42540.00891121,20.50580,1.000000,1.000000,92.33398,24.84375,1.000000,36.50000,1.650000
42540.00902713,21.00050,1.000000,1.000000,92.23633,24.74609,1.000000,27.80000,0.9900000
42540.00914304,21.01990,1.000000,1.000000,92.33398,24.84375,1.000000,57.20000,0.8200000
42540.00925896,21.07810,1.000000,1.000000,92.43164,24.74609,1.000000,55.60000,0.7800000
42540.00937506,20.44760,1.000000,1.000000,92.33398,24.74609,1.000000,58.00000,0.7100000
42540.00949097,19.97230,1.000000,1.000000,92.48047,25.03906,1.000000,54.10000,1.180000
42540.00960689,20.27300,1.000000,1.000000,92.18750,24.79492,1.000000,50.40000,0.9200000
42540.00972281,20.71920,1.000000,1.000000,92.33398,24.69727,1.000000,27.80000,0.3800000
42540.00983872,21.41760,1.000000,1.000000,92.38281,24.79492,1.000000,26.90000,0.4900000
42540.00995464,21.23330,1.000000,1.000000,92.28516,24.84375,1.000000,39.20000,0.3800000
42540.01007056,20.78710,1.000000,1.000000,92.23633,24.74609,1.000000,9.800000,0.6300000
42540.01018647,21.36910,1.000000,1.000000,92.33398,24.74609,1.000000,53.90000,0.8600000
42540.01030239,21.09750,1.000000,1.000000,92.33398,24.69727,1.000000,72.40000,0.9200000
42540.01041831,20.40880,1.000000,1.000000,92.43164,24.79492,1.000000,54.30000,0.9000000
42540.01053422,20.84530,1.000000,1.000000,92.48047,24.74609,1.000000,58.80000,1.010000
42540.01065014,20.84530,1.000000,1.000000,92.52930,24.64844,1.000000,43.10000,0.6400000
42540.01076606,20.06930,1.000000,1.000000,92.48047,24.74609,1.000000,57.20000,0.6700000
42540.01088197,19.89470,1.000000,1.000000,92.43164,24.84375,1.000000,28.30000,0.4800000
42540.01099789,20.21480,1.000000,1.000000,92.67578,25.08789,1.000000,9.800000,0.8000000
42540.01111381,20.45730,1.000000,1.000000,92.38281,24.79492,1.000000,5.800000,1.360000
42540.01122972,20.12750,1.000000,1.000000,92.43164,24.74609,1.000000,12.20000,1.620000
42540.01134564,19.71040,1.000000,1.000000,92.48047,24.79492,1.000000,5.700000,1.560000
42540.01146156,20.89380,1.000000,1.000000,92.33398,24.69727,1.000000,19.70000,1.710000
42540.01157747,21.74740,1.000000,1.000000,92.28516,24.59961,1.000000,32.20000,2.030000
42540.01169339,21.34970,1.000000,1.000000,92.23633,24.69727,1.000000,33.60000,1.790000
42540.01180931,21.64070,1.000000,1.000000,92.28516,24.89258,1.000000,25.30000,2.010000
42540.01192522,21.08780,1.000000,1.000000,92.33398,24.74609,1.000000,57.40000,1.650000
42540.01204114,21.01990,1.000000,1.000000,92.23633,24.74609,1.000000,29.00000,1.970000
42540.01215706,21.01990,1.000000,1.000000,92.28516,24.89258,1.000000,22.70000,1.320000
42540.01227297,21.41760,1.000000,1.000000,92.52930,24.94141,1.000000,17.80000,1.430000
42540.01238889,21.49520,1.000000,1.000000,92.28516,24.79492,1.000000,23.00000,1.150000
42540.01250481,20.99080,1.000000,1.000000,92.33398,24.74609,1.000000,36.90000,1.380000
42540.01262072,20.07900,1.000000,1.000000,92.33398,24.69727,1.000000,36.20000,1.830000
42540.01273664,20.32150,1.000000,1.000000,92.28516,24.84375,1.000000,52.20000,1.280000
42540.01285238,20.78710,1.000000,1.000000,92.38281,24.74609,1.000000,30.70000,1.030000
42540.01296829,21.20420,1.000000,1.000000,92.38281,24.79492,1.000000,29.90000,1.340000
42540.01308421,21.03930,1.000000,1.000000,92.28516,24.64844,1.000000,10.80000,1.120000
42540.01320013,20.60280,1.000000,1.000000,92.33398,24.84375,1.000000,19.00000,1.530000
42540.01331604,20.42820,1.000000,1.000000,92.33398,24.74609,1.000000,31.10000,2.210000
42540.01343196,20.36030,1.000000,1.000000,92.18750,24.79492,1.000000,19.70000,2.280000
42540.01354806,20.63190,1.000000,1.000000,92.18750,24.89258,1.000000,23.00000,2.260000
42540.01366397,21.68920,1.000000,1.000000,92.18750,24.79492,1.000000,19.60000,1.530000
42540.01377989,20.72890,1.000000,1.000000,92.18750,24.74609,1.000000,17.90000,1.530000
42540.01389581,20.20510,1.000000,1.000000,92.23633,24.69727,1.000000,11.50000,1.860000
42540.01401172,20.39910,1.000000,1.000000,92.43164,24.74609,1.000000,52.00000,1.360000
42540.01412764,20.26330,1.000000,1.000000,92.38281,24.84375,1.000000,24.90000,1.910000
42540.01424356,20.15660,1.000000,1.000000,92.28516,24.79492,1.000000,26.80000,1.470000
42540.01435947,20.83560,1.000000,1.000000,92.33398,24.89258,1.000000,26.50000,1.730000
