TheTime,HNET_CCH_O3_conc_ppbv_conv,HNET_CCH_HMP60_Flag,HNET_CCH_O3_Flag,HNET_CCH_HMP60_RH_pct,HNET_CCH_HMP60_Temp_C,HNET_CCH_RMY_Flag,HNET_CCH_RMY_WD_Deg,HNET_CCH_RMY_WS_ms
42542.00016060,15.35510,1.000000,1.000000,84.52148,26.65039,1.000000,120.2000,0.4000000
42542.00027669,15.08350,1.000000,1.000000,84.47266,26.74805,1.000000,114.6000,0.4800000
42542.00039261,15.20960,1.000000,1.000000,84.42383,26.60156,1.000000,100.3000,0.3600000
42542.00050853,15.83040,1.000000,1.000000,84.32617,26.65039,1.000000,101.3000,0.4000000
42542.00062444,16.14080,1.000000,1.000000,84.37500,26.69922,1.000000,93.00000,0.3400000
42542.00074036,15.43270,1.000000,1.000000,84.32617,26.69922,1.000000,109.5000,0.3600000
42542.00085628,15.40360,1.000000,1.000000,84.32617,26.60156,1.000000,103.0000,0.3300000
42542.00097219,15.31630,1.000000,1.000000,84.37500,26.84570,1.000000,103.9000,0.2800000
42542.00108811,15.24840,1.000000,1.000000,84.22852,26.65039,1.000000,86.00000,0.3100000
42542.00120403,14.99620,1.000000,1.000000,84.27734,26.65039,1.000000,61.70000,0.3400000
42542.00131994,14.42390,1.000000,1.000000,84.27734,26.69922,1.000000,71.40000,0.2900000
42542.00143586,14.45300,1.000000,1.000000,84.32617,26.65039,1.000000,64.20000,0.3500000
42542.00155178,14.42390,1.000000,1.000000,84.37500,26.74805,1.000000,80.50000,0.3100000
42542.00166769,13.81280,1.000000,1.000000,84.42383,26.60156,1.000000,54.70000,0.2700000
42542.00178361,13.87100,1.000000,1.000000,84.52148,26.69922,1.000000,57.20000,0.2800000
42542.00189953,13.92920,1.000000,1.000000,84.47266,26.60156,1.000000,59.50000,0.2800000
42542.00201544,14.47240,1.000000,1.000000,84.47266,26.69922,1.000000,57.20000,0.2700000
42542.00213136,14.76340,1.000000,1.000000,84.47266,26.69922,1.000000,44.10000,0.2500000
42542.00224728,14.83130,1.000000,1.000000,84.42383,26.69922,1.000000,45.10000,0
42542.00236319,15.10290,1.000000,1.000000,84.37500,26.79688,1.000000,46.90000,0
42542.00247911,14.80220,1.000000,1.000000,84.47266,26.84570,1.000000,46.90000,0
42542.00259503,14.74400,1.000000,1.000000,84.42383,26.65039,1.000000,46.90000,0
42542.00271094,14.76340,1.000000,1.000000,84.57031,26.60156,1.000000,45.10000,0
42542.00282686,15.08350,1.000000,1.000000,84.47266,26.65039,1.000000,45.10000,0.2500000
42542.00294296,15.06410,1.000000,1.000000,84.47266,26.55273,1.000000,39.20000,0.2800000
42542.00305888,14.61790,1.000000,1.000000,84.52148,26.69922,1.000000,40.10000,0.2500000
42542.00317479,14.53060,1.000000,1.000000,84.52148,26.65039,1.000000,45.10000,0.2500000
42542.00329071,14.75370,1.000000,1.000000,84.57031,26.65039,1.000000,49.60000,0
42542.00340663,14.42390,1.000000,1.000000,84.61914,26.60156,1.000000,49.60000,0
42542.00352254,14.55970,1.000000,1.000000,84.47266,26.55273,1.000000,49.60000,0
42542.00363846,13.99710,1.000000,1.000000,84.61914,26.60156,1.000000,49.60000,0
42542.00375438,14.44330,1.000000,1.000000,84.47266,26.65039,1.000000,49.60000,0
42542.00387029,14.26870,1.000000,1.000000,84.52148,26.65039,1.000000,49.60000,0
42542.00398621,14.18140,1.000000,1.000000,84.42383,26.79688,1.000000,49.60000,0
42542.00410213,13.66730,1.000000,1.000000,84.52148,26.65039,1.000000,49.60000,0
42542.00421804,13.08530,1.000000,1.000000,84.52148,26.60156,1.000000,49.60000,0
42542.00433396,12.91070,1.000000,1.000000,84.57031,26.60156,1.000000,49.60000,0
42542.00444988,13.64790,1.000000,1.000000,84.37500,26.55273,1.000000,49.60000,0
42542.00456579,13.82250,1.000000,1.000000,84.47266,26.69922,1.000000,49.60000,0
42542.00468171,14.26870,1.000000,1.000000,84.52148,26.69922,1.000000,49.60000,0
42542.00479763,14.14260,1.000000,1.000000,84.52148,26.65039,1.000000,49.60000,0
42542.00491354,13.54120,1.000000,1.000000,84.47266,26.79688,1.000000,49.60000,0
42542.00502946,13.65760,1.000000,1.000000,84.57031,26.79688,1.000000,49.60000,0
42542.00514538,13.77400,1.000000,1.000000,84.32617,26.60156,1.000000,49.60000,0
42542.00526129,13.74490,1.000000,1.000000,84.32617,26.60156,1.000000,49.60000,0
42542.00537721,13.54120,1.000000,1.000000,84.42383,26.60156,1.000000,49.60000,0
42542.00549313,13.97770,1.000000,1.000000,84.42383,26.55273,1.000000,49.60000,0
42542.00560904,14.10380,1.000000,1.000000,84.47266,26.69922,1.000000,49.60000,0
42542.00572496,13.94860,1.000000,1.000000,84.47266,26.69922,1.000000,49.60000,0
42542.00584088,14.87010,1.000000,1.000000,84.52148,26.55273,1.000000,315.0000,0
42542.00595679,14.71490,1.000000,1.000000,84.47266,26.65039,1.000000,308.0000,0
42542.00607271,13.79340,1.000000,1.000000,84.37500,26.69922,1.000000,305.3000,0.2700000
42542.00618863,13.55090,1.000000,1.000000,84.37500,26.60156,1.000000,301.3000,0
42542.00630454,14.40450,1.000000,1.000000,84.61914,26.79688,1.000000,301.3000,0
42542.00642046,14.42390,1.000000,1.000000,84.42383,26.69922,1.000000,301.3000,0
42542.00653638,14.46270,1.000000,1.000000,84.37500,26.65039,1.000000,301.3000,0
42542.00665229,14.93800,1.000000,1.000000,84.37500,26.69922,1.000000,301.3000,0
42542.00676839,15.13200,1.000000,1.000000,84.47266,26.60156,1.000000,301.3000,0
42542.00688431,15.33570,1.000000,1.000000,84.52148,26.79688,1.000000,301.3000,0
42542.00700022,15.79160,1.000000,1.000000,84.52148,26.74805,1.000000,301.3000,0
42542.00711596,15.35510,1.000000,1.000000,84.47266,26.50391,1.000000,301.3000,0
42542.00723187,15.43270,1.000000,1.000000,84.47266,26.65039,1.000000,301.3000,0
42542.00734779,16.09230,1.000000,1.000000,84.37500,26.69922,1.000000,301.3000,0
42542.00746371,15.98560,1.000000,1.000000,84.42383,26.60156,1.000000,301.3000,0
42542.00757962,14.81190,1.000000,1.000000,84.47266,26.65039,1.000000,301.3000,0
42542.00769554,14.10380,1.000000,1.000000,84.52148,26.74805,1.000000,301.3000,0
42542.00781146,14.05530,1.000000,1.000000,84.61914,26.55273,1.000000,301.3000,0
42542.00792737,14.75370,1.000000,1.000000,84.61914,26.65039,1.000000,301.3000,0
42542.00804329,14.33660,1.000000,1.000000,84.57031,26.65039,1.000000,301.3000,0
42542.00815921,14.33660,1.000000,1.000000,84.66797,26.74805,1.000000,301.3000,0
42542.00827512,14.29780,1.000000,1.000000,84.52148,26.65039,1.000000,301.3000,0
42542.00839104,14.32690,1.000000,1.000000,84.47266,26.55273,1.000000,301.3000,0
42542.00850696,14.85070,1.000000,1.000000,84.42383,26.65039,1.000000,301.3000,0
42542.00862287,14.54030,1.000000,1.000000,84.52148,26.65039,1.000000,301.3000,0
42542.00873879,13.66730,1.000000,1.000000,84.52148,26.69922,1.000000,301.3000,0
42542.00885471,13.38600,1.000000,1.000000,84.91211,26.69922,1.000000,301.3000,0
42542.00897062,13.62850,1.000000,1.000000,84.71680,26.65039,1.000000,301.3000,0
42542.00908654,13.89040,1.000000,1.000000,84.66797,26.69922,1.000000,301.3000,0
